0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
4        5      0       2       2        1            1            1          "Bone Gloves"                        14      5         0             30           0          20            0              0           0             0               0      1       0       0       1       0       0
5        5      0       2       2        1            1            1          "Leather Gloves"                     4       2         8             30           0          80            0              0           0             0               0      0       1       0       1       1       0
6        5      0       2       2        1            1            1          "Scale Gloves"                       22      7         10            40           0          110           0              0           0             0               0      0       1       0       1       1       0
7        5      0       2       2        1            1            1          "Sphinx Gloves"                      28      8         0             36           0          20            0              0           0             0               0      1       0       0       1       0       0
8        5      0       2       2        1            1            1          "Brass Gloves"                       32      9         8             44           0          100           30             0           0             0               0      0       1       0       1       0       0
9        5      0       2       2        1            1            1          "Plate Gloves"                       42      12        4             50           0          130           0              0           0             0               0      0       1       0       1       0       0
10       5      0       2       2        1            1            1          "Vine Gloves"                        4       2         4             22           0          30            60             0           0             0               0      0       0       1       0       0       0
11       5      0       2       2        1            1            1          "Silk Gloves"                        14      4         8             26           0          30            70             0           0             0               0      0       0       1       0       0       0
12       5      0       2       2        1            1            1          "Wind Gloves"                        26      6         10            32           0          30            80             0           0             0               0      0       0       1       0       0       0
13       5      0       2       2        1            1            1          "Spirit Gloves"                      38      9         4             38           0          40            80             0           0             0               0      0       0       1       0       0       0
14       5      0       2       2        1            1            1          "Guardian Gloves"                    50      15        6             45           0          40            80             0           0             0               0      0       0       1       0       0       0
15       5      0       2       2        1            1            1          "Storm Crow Gloves"                  70      20        6             80           0          150           70             0           0             0               0      0       0       0       1       0       0
16       5      0       2       2        1            1            1          "Black Dragon Gloves"                76      22        6             74           0          170           60             0           0             0               0      0       1       0       0       0       0
17       5      0       2       2        1            1            1          "Dark Phoenix Gloves"                86      37        6             80           0          205           63             0           0             0               0      0       2       0       0       0       0
18       5      0       2       2        1            1            1          "Grand Soul Gloves"                  70      20        5             67           0          49            10             0           0             0               0      2       0       0       0       0       0
19       5      0       2       2        1            1            1          "Divine Gloves"                      72      29        6             74           0          50            110            0           0             0               0      0       0       2       0       0       0
20       5      0       2       2        1            1            1          "Thunder Hawk Gloves"                88      34        7             82           0          150           70             0           0             0               0      0       0       0       1       0       0
21       5      0       2       2        1            1            1          "Great Dragon Gloves"                94      48        6             86           0          200           58             0           0             0               0      0       2       0       0       0       0
22       5      0       2       2        1            1            1          "Dark Soul Gloves"                   87      30        6             75           0          55            18             0           0             0               0      2       0       0       0       0       0
23       5      0       2       2        1            1            1          "Hurricane Gloves"                   102     45        7             90           0          162           66             0           0             0               0      0       0       0       1       0       0
24       5      0       2       2        1            1            1          "Red Spirit Gloves"                  84      38        6             80           0          52            115            0           0             0               0      0       0       2       0       0       0
25       5      0       2       2        1            1            1          "Light Plate Gloves"                 42      12        7             42           0          70            20             0           0             0               0      0       0       0       0       1       0
26       5      0       2       2        1            1            1          "Adamantine Gloves"                  57      18        6             56           0          77            21             0           0             0               0      0       0       0       0       1       0
27       5      0       2       2        1            1            1          "Dark Steel Gloves"                  75      21        5             70           0          84            22             0           0             0               0      0       0       0       0       1       0
28       5      0       2       2        1            1            1          "Dark Master Gloves"                 89      29        4             78           0          80            21             0           0             0               0      0       0       0       0       1       0
29       5      0       2       2        1            1            1          "Dragon Knight Gloves"               114     60        7             90           380        170           60             0           0             0               0      0       2       0       0       0       0
30       5      0       2       2        1            1            1          "Venom Mist Gloves"                  111     44        7             86           380        44            15             0           0             0               0      2       0       0       0       0       0
31       5      0       2       2        1            1            1          "Sylphid Ray Gloves"                 111     50        7             86           380        38            80             0           0             0               0      0       0       2       0       0       0
32       5      0       2       2        1            1            1          "Volcano Gloves"                     127     55        7             95           380        145           60             0           0             0               0      0       0       0       1       0       0
33       5      0       2       2        1            1            1          "Sunlight Gloves"                    110     40        5             82           380        62            16             0           0             0               0      0       0       0       0       1       0
34       5      0       2       2        1            1            1          "Ashcrow Gloves"                     61      18        6             72           0          160           50             0           0             0               0      0       1       0       0       0       0
35       5      0       2       2        1            1            1          "Eclipse Gloves"                     61      15        6             54           0          53            12             0           0             0               0      1       0       0       0       0       0
36       5      0       2       2        1            1            1          "Iris Gloves"                        61      22        6             59           0          50            70             0           0             0               0      0       0       1       0       0       0
37       5      0       2       2        1            1            1          "Valiant Gloves"                     91      27        7             81           0          155           50             0           0             0               0      0       0       0       1       0       0
38       5      0       2       2        1            1            1          "Glorious Gloves"                    91      25        5             74           0          80            21             0           0             0               0      0       0       0       0       1       0
39       5      0       2       2        1            1            1          "Violent Wind Gloves"                24      9         6             36           0          22            0              0           0             0               0      0       0       0       0       0       1
40       5      0       2       2        1            1            1          "Red Wing Gloves"                    44      13        8             42           0          18            4              0           0             0               0      0       0       0       0       0       1
41       5      0       2       2        1            1            1          "Ancient Gloves"                     61      19        7             54           0          52            16             0           0             0               0      0       0       0       0       0       1
42       5      0       2       2        1            1            1          "Demonic Gloves"                     70      26        6             67           0          50            10             0           0             0               0      0       0       0       0       0       2
43       5      0       2       2        1            1            1          "Storm Blitz Gloves"                 87      34        6             75           380        56            20             0           0             0               0      0       0       0       0       0       2
45       5      0       2       2        1            1            1          "Titan  Gloves"                      100     56        7             86           380        222           32             0           0             0               0      0       1       0       0       0       0
46       5      0       2       2        1            1            1          "Brave Gloves"                       97      42        7             86           380        74            162            0           0             0               0      0       1       0       0       0       0
47       5      0       2       2        1            1            1          "Phantom  Gloves"                    101     49        7             86           380        212           57             0           0             0               0      0       0       0       1       0       0
48       5      0       2       2        1            1            1          "Destroy Gloves"                     99      40        7             86           380        62            19             165         0             0               0      0       0       0       1       0       0
49       5      0       2       2        1            1            1          "Seraphim Gloves"                    100     43        7             86           380        55            197            0           0             0               0      0       0       1       0       0       0
50       5      0       2       2        1            1            1          "Divine Gloves"                      95      36        7             86           380        32            29             138         0             0               0      0       0       1       0       0       0
51       5      0       2       2        1            1            1          "Royal Gloves"                       101     34        7             86           380        105           38             0           0             0               0      0       0       0       0       1       0
52       5      0       2       2        1            1            1          "Hades Gloves"                       100     31        7             86           380        60            15             181         0             0               0      1       0       0       0       0       0
end

11
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   WalkSpeed   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        6      0       2       2        1            1            1          "Bronze Boots"                       12      4         10          34           0          80            20             0           0             0               0      0       1       0       1       1       0
1        6      0       2       2        1            1            1          "Dragon Boots"                       54      15        2           68           0          120           30             0           0             0               0      0       1       0       1       0       0
2        6      0       2       2        1            1            1          "Pad Boots"                          4       3         10          28           0          20            0              0           0             0               0      1       0       0       1       0       0
3        6      0       2       2        1            1            1          "Legendary Boots"                    46      12        0           42           0          30            0              0           0             0               0      1       0       0       1       0       0
4        6      0       2       2        1            1            1          "Bone Boots"                         16      6         6           30           0          30            0              0           0             0               0      1       0       0       1       0       0
5        6      0       2       2        1            1            1          "Leather Boots"                      5       2         12          30           0          80            0              0           0             0               0      0       1       0       1       1       0
6        6      0       2       2        1            1            1          "Scale Boots"                        22      8         8           40           0          110           0              0           0             0               0      0       1       0       1       1       0
7        6      0       2       2        1            1            1          "Sphinx Boots"                       30      9         8           36           0          30            0              0           0             0               0      1       0       0       1       0       0
8        6      0       2       2        1            1            1          "Brass Boots"                        32      10        6           44           0          100           30             0           0             0               0      0       1       0       1       0       0
9        6      0       2       2        1            1            1          "Plate Boots"                        42      12        4           50           0          130           0              0           0             0               0      0       1       0       1       0       0
10       6      0       2       2        1            1            1          "Vine Boots"                         5       2         0           22           0          30            60             0           0             0               0      0       0       1       0       0       0
11       6      0       2       2        1            1            1          "Silk Boots"                         15      4         0           26           0          30            70             0           0             0               0      0       0       1       0       0       0
12       6      0       2       2        1            1            1          "Wind Boots"                         27      7         0           32           0          30            80             0           0             0               0      0       0       1       0       0       0
13       6      0       2       2        1            1            1          "Spirit Boots"                       40      10        0           38           0          40            80             0           0             0               0      0       0       1       0       0       0
14       6      0       2       2        1            1            1          "Guardian Boots"                     52      16        0           45           0          40            80             0           0             0               0      0       0       1       0       0       0
15       6      0       2       2        1            1            1          "Storm Crow Boots"                   72      22        2           80           0          150           70             0           0             0               0      0       0       0       1       0       0
16       6      0       2       2        1            1            1          "Black Dragon Boots"                 78      24        2           74           0          170           60             0           0             0               0      0       1       0       0       0       0
17       6      0       2       2        1            1            1          "Dark Phoenix Boots"                 93      40        2           80           0          198           60             0           0             0               0      0       2       0       0       0       0
18       6      0       2       2        1            1            1          "Grand Soul Boots"                   76      22        0           67           0          59            10             0           0             0               0      2       0       0       0       0       0
19       6      0       2       2        1            1            1          "Divine Boots"                       81      30        0           74           0          50            110            0           0             0               0      0       0       2       0       0       0
20       6      0       2       2        1            1            1          "Thunder Hawk Boots"                 92      37        2           82           0          150           70             0           0             0               0      0       0       0       1       0       0
21       6      0       2       2        1            1            1          "Great Dragon Boots"                 98      50        0           86           0          200           58             0           0             0               0      0       2       0       0       0       0
22       6      0       2       2        1            1            1          "Dark Soul Boots"                    95      31        0           75           0          55            18             0           0             0               0      2       0       0       0       0       0
23       6      0       2       2        1            1            1          "Hurricane Boots"                    110     50        0           90           0          162           66             0           0             0               0      0       0       0       1       0       0
24       6      0       2       2        1            1            1          "Red Spirit Boots"                   87      40        0           80           0          52            115            0           0             0               0      0       0       2       0       0       0
25       6      0       2       2        1            1            1          "Light Plate Boots"                  45      13        0           42           0          70            20             0           0             0               0      0       0       0       0       1       0
26       6      0       2       2        1            1            1          "Adamantine Boots"                   60      20        0           56           0          77            21             0           0             0               0      0       0       0       0       1       0
27       6      0       2       2        1            1            1          "Dark Steel Boots"                   83      25        0           70           0          84            22             0           0             0               0      0       0       0       0       1       0
28       6      0       2       2        1            1            1          "Dark Master Boots"                  95      33        0           78           0          80            21             0           0             0               0      0       0       0       0       1       0
29       6      0       2       2        1            1            1          "Dragon Knight Boots"                119     63        0           90           380        170           60             0           0             0               0      0       2       0       0       0       0
30       6      0       2       2        1            1            1          "Venom Mist Boots"                   119     47        0           86           380        44            15             0           0             0               0      2       0       0       0       0       0
31       6      0       2       2        1            1            1          "Sylphid Ray Boots"                  119     53        0           86           380        38            80             0           0             0               0      0       0       2       0       0       0
32       6      0       2       2        1            1            1          "Volcano Boots"                      131     61        0           95           380        145           60             0           0             0               0      0       0       0       1       0       0
33       6      0       2       2        1            1            1          "Sunlight Boots"                     121     44        0           82           380        62            16             0           0             0               0      0       0       0       0       1       0
34       6      0       2       2        1            1            1          "Ashcrow Boots"                      68      19        0           72           0          160           50             0           0             0               0      0       1       0       0       0       0
35       6      0       2       2        1            1            1          "Eclipse Boots"                      68      17        0           54           0          53            12             0           0             0               0      1       0       0       0       0       0
36       6      0       2       2        1            1            1          "Iris Boots"                         68      23        0           59           0          50            70             0           0             0               0      0       0       1       0       0       0
37       6      0       2       2        1            1            1          "Valiant Boots"                      98      29        0           81           0          155           50             0           0             0               0      0       0       0       1       0       0
38       6      0       2       2        1            1            1          "Glorious Boots"                     98      29        0           74           0          80            21             0           0             0               0      0       0       0       0       1       0
39       6      0       2       2        1            1            1          "Violent Wind Boots"                 26      11        0           36           0          27            0              0           0             0               0      0       0       0       0       0       1
40       6      0       2       2        1            1            1          "Red Wing Boots"                     46      15        0           42           0          25            4              0           0             0               0      0       0       0       0       0       1
41       6      0       2       2        1            1            1          "Ancient Boots"                      65      21        0           54           0          53            16             0           0             0               0      0       0       0       0       0       1
42       6      0       2       2        1            1            1          "Demonic Boots"                      76      28        0           67           0          60            10             0           0             0               0      0       0       0       0       0       2
43       6      0       2       2        1            1            1          "Storm Blitz Boots"                  95      38        0           75           380        57            20             0           0             0               0      0       0       0       0       0       2
45       6      0       2       2        1            1            1          "Titan Boots"                        96      57        0           86           380        222           32             0           0             0               0      0       1       0       0       0       0
46       6      0       2       2        1            1            1          "Brave Boots"                        93      45        0           86           380        74            162            0           0             0               0      0       1       0       0       0       0
47       6      0       2       2        1            1            1          "Phantom Boots"                      97      54        0           86           380        212           57             0           0             0               0      0       0       0       1       0       0
48       6      0       2       2        1            1            1          "Destroy Boots"                      94      44        0           86           380        62            19             165         0             0               0      0       0       0       1       0       0
49       6      0       2       2        1            1            1          "Seraphim Boots"                     97      42        0           86           380        55            197            0           0             0               0      0       0       1       0       0       0
50       6      0       2       2        1            1            1          "Divine Boots"                       92      35        0           86           380        32            29             138         0             0               0      0       0       1       0       0       0
51       6      0       2       2        1            1            1          "Royal Boots"                        98      38        0           86           380        105           38             0           0             0               0      0       0       0       0       1       0
52       6      0       2       2        1            1            1          "Hades Boots"                        94      34        0           86           380        60            15             181         0             0               0      1       0       0       0       0       0
end

12
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   Durability   ReqLevel   ReqEnergy   ReqStrength   ReqDexterity   ReqLeadership   BuyMoney   DW      DK      FE      MG      DL      SU
0        7      0       3       2        1            0            0          "Wings of Elf"                       100     10        200          180        0           0             0              0               0          0       0       1       0       0       0
1        7      0       5       3        1            0            0          "Wings of Heaven"                    100     10        200          180        0           0             0              0               0          1       0       0       1       0       0
2        7      0       5       2        1            1            0          "Wings of Satan"                     100     20        200          180        0           0             0              0               0          0       1       0       1       0       0
3        7      0       5       3        1            1            0          "Wings of Spirits"                   150     30        200          215        0           0             0              0               0          0       0       2       0       0       0
4        7      0       5       3        1            1            0          "Wings of Soul"                      150     30        200          215        0           0             0              0               0          2       0       0       0       0       0
5        7      0       3       3        1            1            0          "Wings of Dragon"                    150     45        200          215        0           0             0              0               0          0       2       0       0       0       0
6        7      0       4       2        1            1            0          "Wings of Darkness"                  150     40        200          215        0           0             0              0               0          0       0       0       1       0       0
7        *      0       1       1        1            0            1          "Orb of Twisting Slash"              47      0         0            80         0           0             0              0               29000      0       1       0       1       0       0
8        *      0       1       1        1            0            1          "Healing Orb"                        8       0         0            0          100         0             0              0               800        0       0       1       0       0       0
9        *      0       1       1        1            0            1          "Orb of Greater Fortitude"           13      0         0            0          100         0             0              0               3000       0       0       1       0       0       0
10       *      0       1       1        1            0            1          "Orb of Greater Damage"              18      0         0            0          100         0             0              0               7000       0       0       1       0       0       0
11       *      0       1       1        1            0            1          "Orb of Summoning"                   3       0         0            0          0           0             0              0               150        0       0       1       0       0       0
12       *      0       1       1        1            0            1          "Orb of Rageful Blow"                78      0         0            170        0           0             0              0               150000     0       2       0       0       0       0
13       *      0       1       1        1            0            1          "Orb of Impale"                      20      0         0            28         0           0             0              0               10000      0       1       0       1       0       0
14       *      0       1       1        1            0            1          "Orb of Greater Fortitude"           60      0         0            120        0           0             0              0               43000      0       1       0       0       0       0
15       *      0       1       1        1            0            0          "Jewel of Chaos"                     12      0         0            0          0           0             0              0               0          1       1       1       1       1       0
16       *      0       1       1        1            0            1          "Orb of Fire Slash"                  60      0         0            0          0           320           0              0               51000      0       0       0       1       0       0
17       *      0       1       1        1            0            1          "Orb of Penetration"                 64      0         0            130        0           0             0              0               72000      0       0       1       0       0       0
18       *      0       1       1        1            0            1          "Orb of Ice Arrow"                   81      0         0            0          0           0             258            0               195000     0       0       2       0       0       0
19       *      0       1       1        1            0            1          "Orb of Death Stab"                  72      0         0            160        0           0             0              0               85000      0       2       0       0       0       0
21       *      0       1       2        1            0            1          "Scroll of FireBurst"                74      0         0            0          20          0             0              0               115000     0       0       0       0       1       0
22       *      0       1       2        1            0            1          "Scroll of Summon"                   98      0         0            0          34          0             0              400             375000     0       0       0       0       1       0
23       *      0       1       2        1            0            1          "Scroll of Critical Damage"          82      0         0            0          25          0             0              300             220000     0       0       0       0       1       0
24       *      0       1       2        1            0            1          "Scroll of Electric Spark"           92      0         0            0          29          0             0              340             295000     0       0       0       0       1       0
26       *      0       1       1        1            0            0          "Gem of Secret"                      0       0         0            0          0           0             0              0               0          1       1       1       1       1       1
30       *      0       1       1        1            0            0          "Bundled Jewel of Bless"             25      0         0            0          0           0             0              0               0          1       1       1       1       1       1
31       *      0       1       1        1            0            0          "Bundled Jewel of Soul"              30      0         0            0          0           0             0              0               0          1       1       1       1       1       1
32       *      0       1       1        1            0            0          "Box of Red Ribbon"                  0       0         0            0          0           0             0              0               0          1       1       1       1       1       1
33       *      0       1       1        1            0            0          "Box of Green Ribbon"                0       0         0            0          0           0             0              0               0          1       1       1       1       1       1
34       *      0       1       1        1            0            0          "Box of Blue Ribbon"                 0       0         0            0          0           0             0              0               0          1       1       1       1       1       1
35       *      0       1       2        1            0            1          "Scroll of Fire Scream"              102     0         0            0          32          0             0              70              300000     0       0       0       0       1       0
36       7      0       4       3        1            1            0          "Wing of Storm"                      150     60        220          400        0           0             0              0               0          0       3       0       0       0       0
37       7      0       4       3        1            1            0          "Wing of Eternal"                    150     45        220          400        0           0             0              0               0          3       0       0       0       0       0
38       7      0       4       3        1            1            0          "Wing of Illusion"                   150     45        220          400        0           0             0              0               0          0       0       3       0       0       0
39       7      0       4       3        1            1            0          "Wing of Ruin"                       150     55        220          400        0           0             0              0               0          0       0       0       3       0       0
40       7      0       2       3        1            1            0          "Cape of Emperor"                    150     45        220          400        0           0             0              0               0          0       0       0       0       3       0
41       7      0       4       2        1            0            0          "Wing of Curse"                      100     10        200          180        0           0             0              0               0          0       0       0       0       0       1
42       7      0       4       3        1            1            0          "Wind of Despair"                    150     30        200          215        0           0             0              0               0          0       0       0       0       0       2
43       7      0       4       3        1            1            0          "Wing of Dimension"                  150     45        220          400        0           0             0              0               0          0       0       0       0       0       3
44       *      0       1       1        1            0            1          "Crystal of Destruction"             100     0         0            220        0           0             0              0               380000     0       2       0       0       0       0
45       *      0       1       1        1            0            1          "Crystal of Multi-Shot"              100     0         0            220        0           0             0              0               380000     0       0       2       0       0       0
46       *      0       1       1        1            0            1          "Crystal of Recovery"                100     0         0            220        37          0             0              0               250000     0       0       2       0       0       0
47       *      0       1       1        1            0            1          "Crystal of Flame Strike"            100     0         0            220        0           0             0              0               380000     0       0       0       1       0       0
48       *      0       1       2        1            0            1          "Scroll of Chaotic Diseier"          100     0         0            220        16          0             0              0               380000     0       0       0       0       1       0
60       *      0       1       1        1            0            0          "Seed (Fire)"                        150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
61       *      0       1       1        1            0            0          "Seed (Water)"                       150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
62       *      0       1       1        1            0            0          "Seed (Ice)"                         150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
63       *      0       1       1        1            0            0          "Seed (Wind)"                        150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
64       *      0       1       1        1            0            0          "Seed (Lightning)"                   150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
65       *      0       1       1        1            0            0          "Seed (Earth)"                       150     0         0            0          0           0             0              0               500000     1       1       1       1       1       1
70       *      0       1       1        1            0            0          "Sphere (Mono)"                      102     0         0            0          0           0             0              0               100000     1       1       1       1       1       1
71       *      0       1       1        1            0            0          "Sphere (Di)"                        122     0         0            0          0           0             0              0               150000     1       1       1       1       1       1
72       *      0       1       1        1            0            0          "Sphere (Tri)"                       132     0         0            0          0           0             0              0               200000     1       1       1       1       1       1
100      *      0       1       1        1            0            0          "Seed Sphere (Fire)"                 1       0         0            0          0           0             0              0               1050000    1       1       1       1       1       1
101      *      0       1       1        1            0            0          "Seed Sphere (Water)"                1       0         0            0          0           0             0              0               1050000    1       1       1       1       1       1
102      *      0       1       1        1            0            0          "Seed Sphere (Ice)"                  1       0         0            0          0           0             0              0               1050000    1       1       1       1       1       1
103      *      0       1       1        1            0            0          "Seed Sphere (Wind)"                 1       0         0            0          0           0             0              0               1050000    1       1       1       1       1       1
104      *      0       1       1        1            0            0          "Seed Sphere (Lightning)"            1       0         0            0          0           0             0              0               1050000    1       1       1       1       1       1
